vendor_id,vendor_name,tax_id,city,phone,last_updated,source_system
ERP00001,Magnolia Healthcare Systems,TX66-4142856,Chicago,,19-10-2024,ERP
ERP00002,Quickstep Technologies Inc.,TX11-8374387,San Antonio,(323) 707-7684,27-03-2025,ERP
ERP00003,XTREME PERFORMANCE PARTS LLC,TX89-7151505,New York,(259) 477-5541,19-02-2025,ERP
ERP00004,Kestrel Defense Systems LLC,TX50-4460648,San Antonio,(567) 709-9570,22-10-2024,ERP
ERP00005,Emerald Companyast Distributors,TX45-2864160,Houston,(892) 260-9528,24-12-2024,ERP
ERP00006,Kirkland Industrial SERVICES,TX17-6467167,Los Angeles,(358) 809-2670,06-12-2025,ERP
ERP00007,Reno Capital Group LLC,,Chicago,(718) 378-7659,09-04-2025,ERP
ERP00008,Verbena Hldg Corporation,TX19-7047466,Houston,(862) 566-8542,19-01-2026,ERP
ERP00009,pawnee industrial services l.l.c.,TX24-9375304,Jacksonville,,22-02-2025,ERP
ERP00010,Zephyr Wind Energy CORP,TX67-4653169,Chicago,(753) 488-9144,06-02-2026,ERP
ERP00011,Xcel Energy Services L.L.C,TX88-5227647,Jacksonville,,02-04-2026,ERP
ERP00012,Quorum Business Sol Inc,TX16-4687378,Houston,(907) 665-8541,25-12-2024,ERP
ERP00013,Vineyard Energy Solutions inc,TX81-3918368,San Antonio,(828) 813-9503,05-12-2025,ERP
ERP00014,Uppsala Resources corporation,TX76-5717564,New York,(484) 745-7811,19-12-2025,ERP
ERP00015,Iron Gate Security LLC,TX84-2514085,Jacksonville,(884) 200-9338,10-07-2025,ERP
ERP00016,tundra cold storage llc.,TX97-5139873,Los Angeles,,12-06-2026,ERP
ERP00017,Quicksilver Resources LLC,TX58-4702474,Houston,,03-01-2026,ERP
ERP00018,Zapata Holdings corporation,TX76-6285646,San Diego,(626) 536-7104,30-11-2024,ERP
ERP00019,Istanbul Capital Partners,TX57-6718916,Chicago,(935) 633-7825,15-07-2026,ERP
ERP00020,northgate capital ptr.,TX83-8776028,Chicago,(476) 422-9471,24-10-2024,ERP
ERP00021,FRONTIER MATERIALS GROUP,TX25-9402384,Phoenix,(322) 608-6367,20-01-2025,ERP
ERP00022,ZAVALA CAPITAL GROUP LLC,TX90-6224097,Los Angeles,,14-10-2024,ERP
ERP00023,Oxford Capital Partners LLC,,San Diego,,22-06-2025,ERP
ERP00024,BERGEN CAPITAL PARTNERS INC,TX23-8684120,Phoenix,(751) 929-3245,26-02-2026,ERP
ERP00025,Nuremberg Resources Corporation,TX39-1623210,Los Angeles,(306) 834-5498,01-12-2024,ERP
ERP00026,Catalina Resources Corp,TX17-2675590,New York,(588) 255-5117,21-08-2025,ERP
ERP00027,Persimmon Capital Group Inc,TX77-9111671,Chicago,(252) 995-3890,12-01-2025,ERP
ERP00028,Laramie Capital Group LLC,TX66-1638341,Phoenix,(474) 643-8702,30-06-2025,ERP
ERP00029,Dogwood Environmental LLC,TX22-2529619,Houston,(966) 931-7849,02-06-2025,ERP
ERP00030,Utrecht Capital Partners Incorporated,TX86-7876165,Houston,(957) 568-7438,04-11-2024,ERP
ERP00031,Ocean Blue Seafood Distributors,TX79-1788894,Houston,(235) 752-2656,27-08-2025,ERP
ERP00032,Manchester Capital Group Inc,,Jacksonville,(943) 805-2521,01-01-2026,ERP
ERP00033,TERRACOTTA BUILDING MATERIALS,TX26-7798819,Phoenix,(238) 237-5891,23-04-2026,ERP
ERP00034,Temple Capital Partners L.L.C,TX21-5826959,Houston,(210) 471-8290,24-03-2025,ERP
ERP00035,Universal Supply Chain L.L.C,TX52-6367940,Phoenix,,23-12-2024,ERP
ERP00036,Nova Biomedical CORPoration,TX76-5456509,Dallas,(432) 742-4118,27-01-2026,ERP
ERP00037,Jamestown Energy Co.rp,TX37-9488235,Houston,(568) 909-4520,12-11-2025,ERP
ERP00038,elderberry farms incorporated,,Dallas,(487) 359-4270,15-12-2024,ERP
ERP00039,EINDHOVEN INDUSTRIAL INC,,San Antonio,(592) 643-6401,23-05-2025,ERP
ERP00040,helena holdings co.rp llc,TX64-9849101,Jacksonville,(423) 926-6726,07-02-2026,ERP
ERP00041,Viking Industrial SERVICES,TX36-6194720,New York,,25-10-2024,ERP
