pair_id,erp_id,proc_id,clean_name,match_type
1,ERP00001,PROC00001,Magnolia Healthcare Systems,genuine_match
2,ERP00002,PROC00002,Quickstep Technologies Inc,genuine_match
3,ERP00003,PROC00003,Xtreme Performance Parts LLC,genuine_match
4,ERP00004,PROC00004,Kestrel Defense Systems LLC,genuine_match
5,ERP00005,PROC00005,Emerald Coast Distributors,genuine_match
6,ERP00006,PROC00006,Kirkland Industrial Services,genuine_match
7,ERP00007,PROC00007,Reno Capital Group LLC,genuine_match
8,ERP00008,PROC00008,Verbena Holdings Corporation,genuine_match
9,ERP00009,PROC00009,Pawnee Industrial Services LLC,genuine_match
10,ERP00010,PROC00010,Zephyr Wind Energy Corp,genuine_match
11,ERP00011,PROC00011,Xcel Energy Services LLC,genuine_match
12,ERP00012,PROC00012,Quorum Business Solutions Inc,genuine_match
13,ERP00013,PROC00013,Vineyard Energy Solutions Inc,genuine_match
14,ERP00014,PROC00014,Uppsala Resources Corporation,genuine_match
15,ERP00015,PROC00015,Iron Gate Security LLC,genuine_match
16,ERP00016,PROC00016,Tundra Cold Storage LLC,genuine_match
17,ERP00017,PROC00017,Quicksilver Resources LLC,genuine_match
18,ERP00018,PROC00018,Zapata Holdings Corporation,genuine_match
19,ERP00019,PROC00019,Istanbul Capital Partners,genuine_match
20,ERP00020,PROC00020,Northgate Capital Partners,genuine_match
21,ERP00021,PROC00021,Frontier Materials Group,genuine_match
22,ERP00022,PROC00022,Zavala Capital Group LLC,genuine_match
23,ERP00023,PROC00023,Oxford Capital Partners LLC,genuine_match
24,ERP00024,PROC00024,Bergen Capital Partners Inc,genuine_match
25,ERP00025,PROC00025,Nuremberg Resources Corp,genuine_match
26,ERP00026,PROC00026,Catalina Resources Corp,genuine_match
27,ERP00027,PROC00027,Persimmon Capital Group Inc,genuine_match
28,ERP00028,PROC00028,Laramie Capital Group LLC,genuine_match
29,ERP00029,PROC00029,Dogwood Environmental LLC,genuine_match
30,ERP00030,PROC00030,Utrecht Capital Partners Inc,genuine_match
31,ERP00031,PROC00031,Ocean Blue Seafood Distributors,genuine_match
32,ERP00032,PROC00032,Manchester Capital Group Inc,genuine_match
33,ERP00033,PROC00033,Terracotta Building Materials,genuine_match
34,ERP00034,PROC00034,Temple Capital Partners LLC,genuine_match
35,ERP00035,PROC00035,Universal Supply Chain LLC,genuine_match
36,ERP00036,PROC00036,Nova Biomedical Corporation,genuine_match
37,ERP00037,PROC00037,Jamestown Energy Corp,genuine_match
38,ERP00038,PROC00038,Elderberry Farms Inc,genuine_match
39,ERP00039,PROC00039,Eindhoven Industrial Inc,genuine_match
40,ERP00040,PROC00040,Helena Holdings Corp LLC,genuine_match
41,ERP00041,PROC00041,Viking Industrial Services,genuine_match
42,ERP00042,PROC00042,Hawthorne Industrial LLC,genuine_match
43,ERP00043,PROC00043,Yellowhammer Industries Inc,genuine_match
44,ERP00044,PROC00044,Juneau Marine Services Inc,genuine_match
45,ERP00045,PROC00045,Pasadena Capital Group Inc,genuine_match
46,ERP00046,PROC00046,Xylem Water Technologies LLC,genuine_match
47,ERP00047,PROC00047,Jackrabbit Transportation Inc,genuine_match
48,ERP00048,PROC00048,Rotterdam Capital Group LLC,genuine_match
49,ERP00049,PROC00049,Wintergreen Energy LLC,genuine_match
50,ERP00050,PROC00050,Liberty Freight Services,genuine_match
51,ERP00051,PROC00051,Xylosma Capital Partners Inc,genuine_match
52,ERP00052,PROC00052,Round Rock Holdings Corp LLC,genuine_match
53,ERP00053,PROC00053,Bayshore Industrial Partners,genuine_match
54,ERP00054,PROC00054,Stockholm Capital Partners LLC,genuine_match
55,ERP00055,PROC00055,Mockingbird Media LLC,genuine_match
56,ERP00056,PROC00056,Ridgeline Construction Corp,genuine_match
57,ERP00057,PROC00057,Hollybrook Capital LLC,genuine_match
58,ERP00058,PROC00058,Sierra Nevada Breweries,genuine_match
59,ERP00059,PROC00059,Boise Holdings Corporation,genuine_match
60,ERP00060,PROC00060,Lakewood Technology Solutions,genuine_match
61,ERP00061,PROC00061,Eastern Seaboard Trading LLC,genuine_match
62,ERP00062,PROC00062,Olympus Precision Tools Inc,genuine_match
63,ERP00063,PROC00063,Vernon Holdings Inc LLC,genuine_match
64,ERP00064,PROC00064,Plainview Capital Partners LLC,genuine_match
65,ERP00065,PROC00065,Acadian Timber Corp,genuine_match
66,ERP00066,PROC00066,Inland Empire Transportation,genuine_match
67,ERP00067,PROC00067,Hamburg Resources Corp LLC,genuine_match
68,ERP00068,PROC00068,Wisteria Holdings LLC,genuine_match
69,ERP00069,PROC00069,Foxwood Financial Services,genuine_match
70,ERP00070,PROC00070,Jasper Creek Holdings LLC,genuine_match
71,ERP00071,PROC00071,Xalapa Resources Corporation,genuine_match
72,ERP00072,PROC00072,Elderberry Capital Group Inc,genuine_match
73,ERP00073,PROC00073,Norwood Industrial Partners,genuine_match
74,ERP00074,PROC00074,Quail Run Properties Inc,genuine_match
75,ERP00075,PROC00075,Brownsville Capital Group Inc,genuine_match
76,ERP00076,PROC00076,Turin Holdings Corporation LLC,genuine_match
77,ERP00077,PROC00077,Osceola Resources Corporation,genuine_match
78,ERP00078,PROC00078,Quebec Holdings Inc LLC,genuine_match
79,ERP00079,PROC00079,Waco Capital Group LLC,genuine_match
80,ERP00080,PROC00080,Tamarack Resources Corp,genuine_match
81,ERP00081,PROC00081,Uruapan Resources Corp LLC,genuine_match
82,ERP00082,PROC00082,Denton Resources Inc,genuine_match
83,ERP00083,PROC00083,Pinnacle Steel Works LLC,genuine_match
