supplier_id,supplier_name,tax_id,city,email,last_updated,source_system
PROC00001,Magnolia Healthcare Systems,,Chicago,ap@magnoliaheal.com,2026-06-22,PROCUREMENT
PROC00002,Quickstep Technologies Incorporated,TX61-3294314,San Antonio,ap@quicksteptec.com,2026-07-25,PROCUREMENT
PROC00003,XTREME PERFORMANCE PARTS LLC,,New York,,2026-07-07,PROCUREMENT
PROC00004,Kestrel Defense Systems L.L.C.,TX26-1497447,San Antonio,ap@kestreldefen.com,2026-07-19,PROCUREMENT
PROC00005,Emerald Co.ast Distributors,,Houston,ap@emeraldcoast.com,2026-08-28,PROCUREMENT
PROC00006,Kirkland Industrial Services,TX91-3828600,Los Angeles,ap@kirklandindu.com,2026-07-26,PROCUREMENT
PROC00007,Reno Capital Group L.L.C,TX45-9366230,Chicago,,2026-07-23,PROCUREMENT
PROC00008,Verbena Holdings corporation,TX45-1683661,Houston,ap@verbenaholdi.com,2026-08-23,PROCUREMENT
PROC00009,Pawnee   Industrial Services LLC,,Jacksonville,ap@pawneeindust.com,2026-09-02,PROCUREMENT
PROC00010,Zephyr Wind Energy CORP,TX54-7501292,Chicago,ap@zephyrwinden.com,2026-09-09,PROCUREMENT
PROC00011,Xcel Energy Services LLC.,TX71-3777609,Jacksonville,ap@xcelenergyse.com,2026-07-11,PROCUREMENT
PROC00012,  Quorum Business Soln Inc,,Houston,ap@quorumbusine.com,2026-08-28,PROCUREMENT
PROC00013,Vineyard   Energy Solutions Inc,TX14-6259599,San Antonio,,2026-08-07,PROCUREMENT
PROC00014,Uppsala Resources COrporation,TX51-3275274,New York,ap@uppsalaresou.com,2026-07-29,PROCUREMENT
PROC00015,Iron Gate Security   LLC,TX89-1897413,Jacksonville,ap@irongatesecu.com,2026-08-25,PROCUREMENT
PROC00016,TUNDRA COLD STORAGE LLC,,Los Angeles,,2026-07-01,PROCUREMENT
PROC00017,Quicksilver   Resources LLC.,TX62-2626103,Houston,ap@quicksilverr.com,2026-07-20,PROCUREMENT
PROC00018,Zapata Holdings Companyrporation,TX80-3138964,San Diego,,2026-07-30,PROCUREMENT
PROC00019,istanbul capital   partners,TX35-2439914,Chicago,ap@istanbulcapi.com,2026-07-04,PROCUREMENT
PROC00020,Northgate Cafital Partners,,Chicago,,2026-08-23,PROCUREMENT
PROC00021,Frontier Materials Group,,Phoenix,ap@frontiermate.com,2026-09-11,PROCUREMENT
PROC00022,zavala capital group llc,TX96-3491140,Los Angeles,ap@zavalacapita.com,2026-09-17,PROCUREMENT
PROC00023,Oxford Capital Partners LLC,TX53-6633992,San Diego,ap@oxfordcapita.com,2026-09-09,PROCUREMENT
PROC00024,Bergen Capital Ptr. Inc,,Phoenix,ap@bergencapita.com,2026-07-19,PROCUREMENT
PROC00025,Nuremberg Resources corp,,Los Angeles,ap@nurembergres.com,2026-08-02,PROCUREMENT
PROC00026,Catalina Resources Companyrp,TX99-7144006,New York,ap@catalinareso.com,2026-07-29,PROCUREMENT
PROC00027,persimmon capital group inc,,Chicago,ap@persimmoncap.com,2026-07-01,PROCUREMENT
PROC00028,Laramie Capital Group L.L.C,,Phoenix,,2026-08-18,PROCUREMENT
PROC00029,Dogwood fnvironmental LLC,,Houston,ap@dogwoodenvir.com,2026-09-11,PROCUREMENT
PROC00030,Utrecht Capital Partners Inc,TX95-7703004,Houston,,2026-07-19,PROCUREMENT
PROC00031,Ocean Blue Seafood Distributors,,Houston,ap@oceanbluesea.com,2026-07-19,PROCUREMENT
PROC00032,Manchester Capital Group Inc,,Jacksonville,ap@manchesterca.com,2026-08-18,PROCUREMENT
PROC00033,Terracotta Building Materials,,Phoenix,ap@terracottabu.com,2026-07-02,PROCUREMENT
PROC00034,Temple Capital Partners LLC.,TX92-3563051,Houston,,2026-06-29,PROCUREMENT
PROC00035,Uxiversal Supply Chain LLC,,Phoenix,,2026-09-17,PROCUREMENT
PROC00036,Nova Biomedical corporation,,Dallas,,2026-07-24,PROCUREMENT
PROC00037,Jamestown Energy Corp,,Houston,,2026-08-30,PROCUREMENT
PROC00038,elderberry farms inc,TX87-3475780,Dallas,,2026-06-25,PROCUREMENT
PROC00039,Eindhoven Industrial Inc.,TX92-9804414,San Antonio,,2026-07-11,PROCUREMENT
PROC00040,Helena Holdings Corporation LLC,TX41-6184835,Jacksonville,ap@helenaholdin.com,2026-08-21,PROCUREMENT
PROC00041,VikingeIndustrial Services,,New York,,2026-07-16,PROCUREMENT
PROC00042,Hawthorne Industrial LLC.,TX80-5364066,Los Angeles,ap@hawthorneind.com,2026-08-27,PROCUREMENT
PROC00043,Yellowhammer Industries Inc,,San Antonio,ap@yellowhammer.com,2026-07-26,PROCUREMENT
PROC00044,Juneau Marine Services Incorporated,,Chicago,ap@juneaumarine.com,2026-09-06,PROCUREMENT
PROC00045,Pasadena Capital Group INC,TX41-8326210,San Antonio,ap@pasadenacapi.com,2026-09-07,PROCUREMENT
PROC00046,Xylem Water Technologies LLC,TX49-9774135,Houston,,2026-07-02,PROCUREMENT
PROC00047,Jackrabbit Transportation INC,TX43-1208528,San Diego,ap@jackrabbittr.com,2026-07-19,PROCUREMENT
PROC00048,Rotterdaf Capital Group L.L.C,TX96-1089453,Chicago,ap@rotterdamcap.com,2026-06-26,PROCUREMENT
PROC00049,  Wintergreen Energy L.L.C.,TX10-1638106,San Diego,,2026-09-12,PROCUREMENT
PROC00050,Liberty Freight Services,TX37-3338898,Houston,ap@libertyfreig.com,2026-07-22,PROCUREMENT
PROC00051,Xylosma   Capital Partners inc,TX98-7856485,Chicago,ap@xylosmacapit.com,2026-07-17,PROCUREMENT
PROC00052,Round Rock Holdinls Corp L.L.C.,,San Antonio,ap@roundrockhol.com,2026-08-14,PROCUREMENT
PROC00053,Bayshore Industrial Partners,TX15-1359697,Jacksonville,ap@bayshoreindu.com,2026-08-16,PROCUREMENT
PROC00054,Stockholm Capital Ptr. LLC,TX26-9445182,San Antonio,ap@stockholmcap.com,2026-07-08,PROCUREMENT
PROC00055,Mockingbird Media LLC,TX44-8844347,Chicago,ap@mockingbirdm.com,2026-09-18,PROCUREMENT
PROC00056,Ridgeline Construction Corporation,,Jacksonville,,2026-08-23,PROCUREMENT
PROC00057,Hollybrook Capital LLC,,Jacksonville,ap@hollybrookca.com,2026-06-24,PROCUREMENT
PROC00058,Sierra Nevada Breweries,TX35-1984566,Dallas,ap@sierranevada.com,2026-09-10,PROCUREMENT
PROC00059,Boise Holdings Corporationoration,TX11-1119536,Philadelphia,,2026-07-21,PROCUREMENT
PROC00060,Lakewood Technology Solutions,TX34-1090023,San Diego,,2026-08-22,PROCUREMENT
PROC00061,Eastern Seaboard Trading L.L.C,,Los Angeles,,2026-06-26,PROCUREMENT
PROC00062,Olympus Precision Tools Incorporated,TX21-7558804,Philadelphia,ap@olympuspreci.com,2026-09-18,PROCUREMENT
PROC00063,Vernon Holdings Inc. LLC,,Philadelphia,ap@vernonholdin.com,2026-08-26,PROCUREMENT
PROC00064,plainview capital partners l.l.c,TX92-9562615,Dallas,ap@plainviewcap.com,2026-07-13,PROCUREMENT
